Score	Pred
0	0.661742
0	0.597835
1	0.601999
1	0.575110
0	0.857925
0	0.714882
1	0.571697
0	0.505878
1	0.595437
0	0.596309
0	0.853462
0	0.691845
1	0.577451
0	0.618241
0	0.564477
0	0.501602
0	0.568575
1	0.584944
0	0.593586
0	0.534345
0	0.534808
0	0.740542
0	0.605997
1	0.561459
1	0.512439
1	0.584277
0	0.637869
0	0.547796
1	0.701194
0	0.648870
0	0.802354
1	0.521223
0	0.882784
0	0.833705
1	0.656025
0	0.651229
1	0.517311
1	0.637973
1	0.567224
0	0.844158
1	0.570985
0	0.597547
1	0.511119
0	0.836793
0	0.719626
1	0.737053
0	0.761712
0	0.560965
0	0.604697
1	0.551026
1	0.567832
1	0.530739
1	0.573646
1	0.520079
0	0.838584
1	0.711389
0	0.736098
0	0.513472
0	0.559486
0	0.696081
1	0.656205
0	0.615886
1	0.573213
